"","qsim_site","river_name","section_id","section_name","km","qsimVis_ID","qsimVis_source"
"Pa2__Panke.2__1.9384","Pa2__Panke.2__1.9384","Pa2","Panke","2",1.9384,"Panke","manually_added"
"SpK__S125.SpK__1.91.m","SpK__S125.SpK__1.91","SpK","S125","SpK",1.91,"SpK","verknet"
"NSK__S201.Nsk__1.9.m","NSK__S201.Nsk__1.9","NSK","S201","Nsk",1.9,"Neukoellner_Schifffahrtskanal","manually_added"
"SOW__S501.SOW__1.9.m","SOW__S501.SOW__1.9","SOW","S501","SOW",1.9,"SOW","verknet"
"UHW__S503.UHW__1.9.m","UHW__S503.UHW__1.9","UHW","S503","UHW",1.9,"UHW","verknet"
"SpK__S125.SpK__1.89.m","SpK__S125.SpK__1.89","SpK","S125","SpK",1.89,"SpK","verknet"
"Pa2__Panke.2__1.874","Pa2__Panke.2__1.874","Pa2","Panke","2",1.874,"Panke","manually_added"
"Pa2__Panke.2__1.821","Pa2__Panke.2__1.821","Pa2","Panke","2",1.821,"Panke","manually_added"
"SOW__S501.SOW__1.8.m","SOW__S501.SOW__1.8","SOW","S501","SOW",1.8,"SOW","verknet"
"SpK__S125.SpK__1.8.m","SpK__S125.SpK__1.8","SpK","S125","SpK",1.8,"SpK","verknet"
"UHW__S503.UHW__1.8.m","UHW__S503.UHW__1.8","UHW","S503","UHW",1.8,"UHW","verknet"
"Pa2__Panke.2__1.756","Pa2__Panke.2__1.756","Pa2","Panke","2",1.756,"Panke","manually_added"
"NSK__S201.Nsk__1.7.m","NSK__S201.Nsk__1.7","NSK","S201","Nsk",1.7,"Neukoellner_Schifffahrtskanal","manually_added"
"SOW__S501.SOW__1.7.m","SOW__S501.SOW__1.7","SOW","S501","SOW",1.7,"SOW","verknet"
"UHW__S503.UHW__1.7.m","UHW__S503.UHW__1.7","UHW","S503","UHW",1.7,"UHW","verknet"
"Pa2__Panke.2__1.6895","Pa2__Panke.2__1.6895","Pa2","Panke","2",1.6895,"Panke","manually_added"
"Lwk__S203.Lwk__1.67.m","Lwk__S203.Lwk__1.67","Lwk","S203","Lwk",1.67,"LWK","verknet"
"CVK__S308.CVK__1.65.m","CVK__S308.CVK__1.65","CVK","S308","CVK",1.65,"CVK","verknet"
"Pa2__Panke.2__1.634","Pa2__Panke.2__1.634","Pa2","Panke","2",1.634,"Panke","manually_added"
"Lwk__S313.LwK__1.6.m","Lwk__S313.LwK__1.6","Lwk","S313","LwK",1.6,"LWK","verknet"
"SOW__S501.SOW__1.6.m","SOW__S501.SOW__1.6","SOW","S501","SOW",1.6,"SOW","verknet"
"UHW__S503.UHW__1.6.m","UHW__S503.UHW__1.6","UHW","S503","UHW",1.6,"UHW","verknet"
"Pa2__Panke.2__1.597","Pa2__Panke.2__1.597","Pa2","Panke","2",1.597,"Panke","manually_added"
"Pa2__Panke.2__1.557","Pa2__Panke.2__1.557","Pa2","Panke","2",1.557,"Panke","manually_added"
"Lwk__S313.LwK__1.55.m","Lwk__S313.LwK__1.55","Lwk","S313","LwK",1.55,"LWK","verknet"
"CVK__S308.CVK__1.52.m","CVK__S308.CVK__1.52","CVK","S308","CVK",1.52,"CVK","verknet"
"Pa2__Panke.2__1.502","Pa2__Panke.2__1.502","Pa2","Panke","2",1.502,"Panke","manually_added"
"SOW__S501.SOW__1.5.m","SOW__S501.SOW__1.5","SOW","S501","SOW",1.5,"SOW","verknet"
"UHW__S503.UHW__1.5.m","UHW__S503.UHW__1.5","UHW","S503","UHW",1.5,"UHW","verknet"
"WHK__S311.WHK__1.5.m","WHK__S311.WHK__1.5","WHK","S311","WHK",1.5,"WHK","verknet"
"Pa2__Panke.2__1.4365","Pa2__Panke.2__1.4365","Pa2","Panke","2",1.4365,"Panke","manually_added"
"SpK__S125.SpK__1.42.m","SpK__S125.SpK__1.42","SpK","S125","SpK",1.42,"SpK","verknet"
"NSK__S201.Nsk__1.4.m","NSK__S201.Nsk__1.4","NSK","S201","Nsk",1.4,"Neukoellner_Schifffahrtskanal","manually_added"
"SOW__S501.SOW__1.4.m","SOW__S501.SOW__1.4","SOW","S501","SOW",1.4,"SOW","verknet"
"UHW__S503.UHW__1.4.m","UHW__S503.UHW__1.4","UHW","S503","UHW",1.4,"UHW","verknet"
"WHK__S311.WHK__1.4.m","WHK__S311.WHK__1.4","WHK","S311","WHK",1.4,"WHK","verknet"
"WHK__S312.WHK__1.4.m","WHK__S312.WHK__1.4","WHK","S312","WHK",1.4,"WHK","verknet"
"Pa2__Panke.2__1.374","Pa2__Panke.2__1.374","Pa2","Panke","2",1.374,"Panke","manually_added"
"SpK__S125.SpK__1.35.m","SpK__S125.SpK__1.35","SpK","S125","SpK",1.35,"SpK","verknet"
"Pa2__Panke.2__1.3248","Pa2__Panke.2__1.3248","Pa2","Panke","2",1.3248,"Panke","manually_added"
"SpK__S125.SpK__1.31.m","SpK__S125.SpK__1.31","SpK","S125","SpK",1.31,"SpK","verknet"
"CVK__S308.CVK__1.3.m","CVK__S308.CVK__1.3","CVK","S308","CVK",1.3,"CVK","verknet"
"SOW__S501.SOW__1.3.m","SOW__S501.SOW__1.3","SOW","S501","SOW",1.3,"SOW","verknet"
"UHW__S503.UHW__1.3.m","UHW__S503.UHW__1.3","UHW","S503","UHW",1.3,"UHW","verknet"
"WHK__S312.WHK__1.3.m","WHK__S312.WHK__1.3","WHK","S312","WHK",1.3,"WHK","verknet"
"Pa2__Panke.2__1.263","Pa2__Panke.2__1.263","Pa2","Panke","2",1.263,"Panke","manually_added"
"Lwk__S313.LwK__1.25.m","Lwk__S313.LwK__1.25","Lwk","S313","LwK",1.25,"LWK","verknet"
"Pa2__Panke.2__1.232","Pa2__Panke.2__1.232","Pa2","Panke","2",1.232,"Panke","manually_added"
"Lwk__S313.LwK__1.2.m","Lwk__S313.LwK__1.2","Lwk","S313","LwK",1.2,"LWK","verknet"
"Pa2__Panke.2__1.2","Pa2__Panke.2__1.2","Pa2","Panke","2",1.2,"Panke","manually_added"
"SOW__S501.SOW__1.2.m","SOW__S501.SOW__1.2","SOW","S501","SOW",1.2,"SOW","verknet"
"UHW__S503.UHW__1.2.m","UHW__S503.UHW__1.2","UHW","S503","UHW",1.2,"UHW","verknet"
"Lwk__S313.LwK__1.17.m","Lwk__S313.LwK__1.17","Lwk","S313","LwK",1.17,"LWK","verknet"
"Pa2__Panke.2__1.1621","Pa2__Panke.2__1.1621","Pa2","Panke","2",1.1621,"Panke","manually_added"
"Lwk__S313.LwK__1.14.m","Lwk__S313.LwK__1.14","Lwk","S313","LwK",1.14,"LWK","verknet"
"Pa2__Panke.2__1.13","Pa2__Panke.2__1.13","Pa2","Panke","2",1.13,"Panke","manually_added"
"CVK__S308.CVK__1.1.m","CVK__S308.CVK__1.1","CVK","S308","CVK",1.1,"CVK","verknet"
"SOW__S501.SOW__1.1.m","SOW__S501.SOW__1.1","SOW","S501","SOW",1.1,"SOW","verknet"
"UHW__S503.UHW__1.1.m","UHW__S503.UHW__1.1","UHW","S503","UHW",1.1,"UHW","verknet"
"Pa2__Panke.2__1.092","Pa2__Panke.2__1.092","Pa2","Panke","2",1.092,"Panke","manually_added"
"Pa2__Panke.2__1.048","Pa2__Panke.2__1.048","Pa2","Panke","2",1.048,"Panke","manually_added"
"SOW__S501.SOW__1.m","SOW__S501.SOW__1","SOW","S501","SOW",1,"SOW","verknet"
"UHW__S503.UHW__1.m","UHW__S503.UHW__1","UHW","S503","UHW",1,"UHW","verknet"
"Pa2__Panke.2__0.988","Pa2__Panke.2__0.988","Pa2","Panke","2",0.988,"Panke","manually_added"
"Pa2__Panke.2__0.955","Pa2__Panke.2__0.955","Pa2","Panke","2",0.955,"Panke","manually_added"
"NSK__S201.Nsk__0.95.m","NSK__S201.Nsk__0.95","NSK","S201","Nsk",0.95,"Neukoellner_Schifffahrtskanal","manually_added"
"SpK__S125.SpK__0.93.m","SpK__S125.SpK__0.93","SpK","S125","SpK",0.93,"SpK","verknet"
"Pa2__Panke.2__0.92","Pa2__Panke.2__0.92","Pa2","Panke","2",0.92,"Panke","manually_added"
"Lwk__S313.LwK__0.9.m","Lwk__S313.LwK__0.9","Lwk","S313","LwK",0.9,"LWK","verknet"
"SOW__S501.SOW__0.9.m","SOW__S501.SOW__0.9","SOW","S501","SOW",0.9,"SOW","verknet"
"SpK__S125.SpK__0.9.m","SpK__S125.SpK__0.9","SpK","S125","SpK",0.9,"SpK","verknet"
"UHW__S503.UHW__0.9.m","UHW__S503.UHW__0.9","UHW","S503","UHW",0.9,"UHW","verknet"
"Pa2__Panke.2__0.8964","Pa2__Panke.2__0.8964","Pa2","Panke","2",0.8964,"Panke","manually_added"
"Spk__S302.SpK__0.883.m","Spk__S302.SpK__0.883","Spk","S302","SpK",0.883,"SpK","verknet"
"Pa__Panke.1__0.868","Pa__Panke.1__0.868","Pa","Panke","1",0.868,"Panke","manually_added"
"Spk__S302.SpK__0.863.m","Spk__S302.SpK__0.863","Spk","S302","SpK",0.863,"SpK","verknet"
"Pa__Panke.1__0.825","Pa__Panke.1__0.825","Pa","Panke","1",0.825,"Panke","manually_added"
"SOW__S501.SOW__0.8.m","SOW__S501.SOW__0.8","SOW","S501","SOW",0.8,"SOW","verknet"
"UHW__S503.UHW__0.8.m","UHW__S503.UHW__0.8","UHW","S503","UHW",0.8,"UHW","verknet"
"WHK__S312.WHK__0.8.m","WHK__S312.WHK__0.8","WHK","S312","WHK",0.8,"WHK","verknet"
"Pa__Panke.1__0.787","Pa__Panke.1__0.787","Pa","Panke","1",0.787,"Panke","manually_added"
"Pa__Panke.1__0.748","Pa__Panke.1__0.748","Pa","Panke","1",0.748,"Panke","manually_added"
"NSK__S201.Nsk__0.73.m","NSK__S201.Nsk__0.73","NSK","S201","Nsk",0.73,"Neukoellner_Schifffahrtskanal","manually_added"
"Spk__S302.SpK__0.721.m","Spk__S302.SpK__0.721","Spk","S302","SpK",0.721,"SpK","verknet"
"Pa__Panke.1__0.702","Pa__Panke.1__0.702","Pa","Panke","1",0.702,"Panke","manually_added"
"SOW__S501.SOW__0.7.m","SOW__S501.SOW__0.7","SOW","S501","SOW",0.7,"SOW","verknet"
"Spk__S302.SpK__0.7.m","Spk__S302.SpK__0.7","Spk","S302","SpK",0.7,"SpK","verknet"
"UHW__S503.UHW__0.7.m","UHW__S503.UHW__0.7","UHW","S503","UHW",0.7,"UHW","verknet"
"Pa__Panke.1__0.6485","Pa__Panke.1__0.6485","Pa","Panke","1",0.6485,"Panke","manually_added"
"Spk__S302.SpK__0.622.m","Spk__S302.SpK__0.622","Spk","S302","SpK",0.622,"SpK","verknet"
"Lwk__S313.LwK__0.61.m","Lwk__S313.LwK__0.61","Lwk","S313","LwK",0.61,"LWK","verknet"
"Pa__Panke.1__0.609","Pa__Panke.1__0.609","Pa","Panke","1",0.609,"Panke","manually_added"
"Spk__S302.SpK__0.602.m","Spk__S302.SpK__0.602","Spk","S302","SpK",0.602,"SpK","verknet"
"CVK__S308.CVK__0.6.m","CVK__S308.CVK__0.6","CVK","S308","CVK",0.6,"CVK","verknet"
"SOW__S501.SOW__0.6.m","SOW__S501.SOW__0.6","SOW","S501","SOW",0.6,"SOW","verknet"
"UHW__S503.UHW__0.6.m","UHW__S503.UHW__0.6","UHW","S503","UHW",0.6,"UHW","verknet"
"Lwk__S313.LwK__0.58.m","Lwk__S313.LwK__0.58","Lwk","S313","LwK",0.58,"LWK","verknet"
"Spk__S302.SpK__0.578.m","Spk__S302.SpK__0.578","Spk","S302","SpK",0.578,"SpK","verknet"
"HOW__S530.HOW__0.55","HOW__S530.HOW__0.55","HOW","S530","HOW",0.55,"HOW","verknet"
"Lwk__S313.LwK__0.55.m","Lwk__S313.LwK__0.55","Lwk","S313","LwK",0.55,"LWK","verknet"
"Pa__Panke.1__0.543","Pa__Panke.1__0.543","Pa","Panke","1",0.543,"Panke","manually_added"
"HOW__S530.HOW__0.5","HOW__S530.HOW__0.5","HOW","S530","HOW",0.5,"HOW","verknet"
"SOW__S501.SOW__0.5.m","SOW__S501.SOW__0.5","SOW","S501","SOW",0.5,"SOW","verknet"
"UHW__S503.UHW__0.5.m","UHW__S503.UHW__0.5","UHW","S503","UHW",0.5,"UHW","verknet"
"NSK__S201.Nsk__0.465.m","NSK__S201.Nsk__0.465","NSK","S201","Nsk",0.465,"Neukoellner_Schifffahrtskanal","manually_added"
"Pa__Panke.1__0.404","Pa__Panke.1__0.404","Pa","Panke","1",0.404,"Panke","manually_added"
"Spk__S302.SpK__0.402.m","Spk__S302.SpK__0.402","Spk","S302","SpK",0.402,"SpK","verknet"
"HOW__S530.HOW__0.4","HOW__S530.HOW__0.4","HOW","S530","HOW",0.4,"HOW","verknet"
"SOW__S501.SOW__0.4.m","SOW__S501.SOW__0.4","SOW","S501","SOW",0.4,"SOW","verknet"
"SOW__S502.SOW__0.4.m","SOW__S502.SOW__0.4","SOW","S502","SOW",0.4,"SOW","verknet"
"UHW__S503.UHW__0.4.m","UHW__S503.UHW__0.4","UHW","S503","UHW",0.4,"UHW","verknet"
"WHK__S312.WHK__0.4.m","WHK__S312.WHK__0.4","WHK","S312","WHK",0.4,"WHK","verknet"
"Lwk__S313.LwK__0.35.m","Lwk__S313.LwK__0.35","Lwk","S313","LwK",0.35,"LWK","verknet"
"Spk__S302.SpK__0.347.m","Spk__S302.SpK__0.347","Spk","S302","SpK",0.347,"SpK","verknet"
"Pa__Panke.1__0.328","Pa__Panke.1__0.328","Pa","Panke","1",0.328,"Panke","manually_added"
"HOW__S530.HOW__0.3","HOW__S530.HOW__0.3","HOW","S530","HOW",0.3,"HOW","verknet"
"SOW__S502.SOW__0.3.m","SOW__S502.SOW__0.3","SOW","S502","SOW",0.3,"SOW","verknet"
"UHW__S503.UHW__0.3.m","UHW__S503.UHW__0.3","UHW","S503","UHW",0.3,"UHW","verknet"
"WHK__S312.WHK__0.3.m","WHK__S312.WHK__0.3","WHK","S312","WHK",0.3,"WHK","verknet"
"Spk__S302.SpK__0.282.m","Spk__S302.SpK__0.282","Spk","S302","SpK",0.282,"SpK","verknet"
"Pa__Panke.1__0.254","Pa__Panke.1__0.254","Pa","Panke","1",0.254,"Panke","manually_added"
"HOW__S530.HOW__0.2","HOW__S530.HOW__0.2","HOW","S530","HOW",0.2,"HOW","verknet"
"NSK__S201.Nsk__0.2.m","NSK__S201.Nsk__0.2","NSK","S201","Nsk",0.2,"Neukoellner_Schifffahrtskanal","manually_added"
"SOW__S502.SOW__0.2.m","SOW__S502.SOW__0.2","SOW","S502","SOW",0.2,"SOW","verknet"
"UHW__S503.UHW__0.2.m","UHW__S503.UHW__0.2","UHW","S503","UHW",0.2,"UHW","verknet"
"Pa__Panke.1__0.199","Pa__Panke.1__0.199","Pa","Panke","1",0.199,"Panke","manually_added"
"Lwk__S313.LwK__0.18.m","Lwk__S313.LwK__0.18","Lwk","S313","LwK",0.18,"LWK","verknet"
"Pa__Panke.1__0.15","Pa__Panke.1__0.15","Pa","Panke","1",0.15,"Panke","manually_added"
"Pa__Panke.1__0.126","Pa__Panke.1__0.126","Pa","Panke","1",0.126,"Panke","manually_added"
"VB__S308.Nordhafen.Vorbecken__0.114","VB__S308.Nordhafen.Vorbecken__0.114","VB","S308","Nordhafen Vorbecken",0.114,"Panke","manually_added"
"Pa__Panke.1__0.106","Pa__Panke.1__0.106","Pa","Panke","1",0.106,"Panke","manually_added"
"HOW__S530.HOW__0.1","HOW__S530.HOW__0.1","HOW","S530","HOW",0.1,"HOW","verknet"
"Lwk__S313.LwK__0.1.m","Lwk__S313.LwK__0.1","Lwk","S313","LwK",0.1,"LWK","verknet"
"UHW__S503.UHW__0.1.m","UHW__S503.UHW__0.1","UHW","S503","UHW",0.1,"UHW","verknet"
"VB__S308.Nordhafen.Vorbecken__0.097","VB__S308.Nordhafen.Vorbecken__0.097","VB","S308","Nordhafen Vorbecken",0.097,"Panke","manually_added"
"VB__S308.Nordhafen.Vorbecken__0.081","VB__S308.Nordhafen.Vorbecken__0.081","VB","S308","Nordhafen Vorbecken",0.081,"Panke","manually_added"
"VB__S308.Nordhafen.Vorbecken__0.067","VB__S308.Nordhafen.Vorbecken__0.067","VB","S308","Nordhafen Vorbecken",0.067,"Panke","manually_added"
"VB__S308.Nordhafen.Vorbecken__0.052","VB__S308.Nordhafen.Vorbecken__0.052","VB","S308","Nordhafen Vorbecken",0.052,"Panke","manually_added"
"VB__S308.Nordhafen.Vorbecken__0.035","VB__S308.Nordhafen.Vorbecken__0.035","VB","S308","Nordhafen Vorbecken",0.035,"Panke","manually_added"
"Spk__S302.SpK__0.02.m","Spk__S302.SpK__0.02","Spk","S302","SpK",0.02,"SpK","verknet"
"VB__S308.Nordhafen.Vorbecken__0.015","VB__S308.Nordhafen.Vorbecken__0.015","VB","S308","Nordhafen Vorbecken",0.015,"Panke","manually_added"
"CVK__S308.CVK__0.m","CVK__S308.CVK__0","CVK","S308","CVK",0,"CVK","verknet"
"HOW__S530.HOW__0","HOW__S530.HOW__0","HOW","S530","HOW",0,"HOW","verknet"
"Lwk__S313.LwK__0.m","Lwk__S313.LwK__0","Lwk","S313","LwK",0,"LWK","verknet"
"NSK__S201.Nsk__0.m","NSK__S201.Nsk__0","NSK","S201","Nsk",0,"Neukoellner_Schifffahrtskanal","manually_added"
"Spk__S302.SpK__0.m","Spk__S302.SpK__0","Spk","S302","SpK",0,"SpK","verknet"
"UHW__S503.UHW__0","UHW__S503.UHW__0","UHW","S503","UHW",0,"UHW","verknet"
"VB__S308.Nordhafen.Vorbecken__0","VB__S308.Nordhafen.Vorbecken__0","VB","S308","Nordhafen Vorbecken",0,"Panke","manually_added"
"WHK__S312.WHK__0.m","WHK__S312.WHK__0","WHK","S312","WHK",0,"WHK","verknet"
