"","qsim_site","river_name","section_id","section_name","km","qsimVis_ID","qsimVis_source"
"SOW__S304.SOW__13.4.m","SOW__S304.SOW__13.4","SOW","S304","SOW",13.4,"SOW","verknet"
"SOW__S304.SOW__12.79.m","SOW__S304.SOW__12.79","SOW","S304","SOW",12.79,"SOW","verknet"
"SOW__S304.SOW__12.5.m","SOW__S304.SOW__12.5","SOW","S304","SOW",12.5,"SOW","verknet"
"BSSK__S307.BSSK__12.2","BSSK__S307.BSSK__12.2","BSSK","S307","BSSK",12.2,"BSK","verknet"
"SOW__S304.SOW__12.2.m","SOW__S304.SOW__12.2","SOW","S304","SOW",12.2,"SOW","verknet"
"SOW__S304.SOW__12.1.m","SOW__S304.SOW__12.1","SOW","S304","SOW",12.1,"SOW","verknet"
"SOW__S304.SOW__12.m","SOW__S304.SOW__12","SOW","S304","SOW",12,"SOW","verknet"
"SOW__S304.SOW__11.8.m","SOW__S304.SOW__11.8","SOW","S304","SOW",11.8,"SOW","verknet"
"BSSK__S307.BSSK__11.75.m","BSSK__S307.BSSK__11.75","BSSK","S307","BSSK",11.75,"BSK","verknet"
"BSSK__S307.BSSK__11.59.m","BSSK__S307.BSSK__11.59","BSSK","S307","BSSK",11.59,"BSK","verknet"
"BSSK__S307.BSSK__11.5.m","BSSK__S307.BSSK__11.5","BSSK","S307","BSSK",11.5,"BSK","verknet"
"SOW__S304.SOW__11.48.m","SOW__S304.SOW__11.48","SOW","S304","SOW",11.48,"SOW","verknet"
"SOW__S304.SOW__11.2.m","SOW__S304.SOW__11.2","SOW","S304","SOW",11.2,"SOW","verknet"
"BSSK__S307.BSSK__10.9.m","BSSK__S307.BSSK__10.9","BSSK","S307","BSSK",10.9,"BSK","verknet"
"SOW__S304.SOW__10.9.m","SOW__S304.SOW__10.9","SOW","S304","SOW",10.9,"SOW","verknet"
"BSSK__S307.BSSK__10.8.m","BSSK__S307.BSSK__10.8","BSSK","S307","BSSK",10.8,"BSK","verknet"
"LwKo__S107.LwK__10.74","LwKo__S107.LwK__10.74","LwKo","S107","LwK",10.74,"LWK","verknet"
"BSSK__S307.BSSK__10.7.m","BSSK__S307.BSSK__10.7","BSSK","S307","BSSK",10.7,"BSK","verknet"
"LwKo__S107.LwK__10.698","LwKo__S107.LwK__10.698","LwKo","S107","LwK",10.698,"LWK","verknet"
"LwKo__S107.LwK__10.655","LwKo__S107.LwK__10.655","LwKo","S107","LwK",10.655,"LWK","verknet"
"BSSK__S307.BSSK__10.6.m","BSSK__S307.BSSK__10.6","BSSK","S307","BSSK",10.6,"BSK","verknet"
"LwKo__S107.LwK__10.57","LwKo__S107.LwK__10.57","LwKo","S107","LwK",10.57,"LWK","verknet"
"BSSK__S307.BSSK__10.54.m","BSSK__S307.BSSK__10.54","BSSK","S307","BSSK",10.54,"BSK","verknet"
"BSSK__S309.BSSK__10.54.m","BSSK__S309.BSSK__10.54","BSSK","S309","BSSK",10.54,"BSK","verknet"
"Lwk__S202.Lwk__10.5","Lwk__S202.Lwk__10.5","Lwk","S202","Lwk",10.5,"LWK","verknet"
"SOW__S304.SOW__10.28.m","SOW__S304.SOW__10.28","SOW","S304","SOW",10.28,"SOW","verknet"
"Lwk__S202.Lwk__10.27","Lwk__S202.Lwk__10.27","Lwk","S202","Lwk",10.27,"LWK","verknet"
"Lwk__S202.Lwk__10.1","Lwk__S202.Lwk__10.1","Lwk","S202","Lwk",10.1,"LWK","verknet"
"Lwk__S202.Lwk__10.05","Lwk__S202.Lwk__10.05","Lwk","S202","Lwk",10.05,"LWK","verknet"
"SOW__S304.SOW__10.05.m","SOW__S304.SOW__10.05","SOW","S304","SOW",10.05,"SOW","verknet"
"BSSK__S309.BSSK__10.m","BSSK__S309.BSSK__10","BSSK","S309","BSSK",10,"BSK","verknet"
