"river","x","y","km","distance_to_neighbour"
"BSK",13.2297720336169,52.5612563205087,0.415999999997439,0.415999999997439
"BSK",13.2299196770448,52.5611758400192,0.428562150002108,0.0125621500046691
"BSK",13.2300709955868,52.5610979361678,0.441124300006777,0.0125621500046691
"BSK",13.2307886006952,52.560738949048,0.5,0.058875699993223
"BSK",13.2308300935579,52.5607181914265,0.503642800002126,0.00364280000212602
"BSK",13.2312503259053,52.5605039569085,0.540821899994626,0.0371790999924997
"BSK",13.231913980599,52.5601591743114,0.600000000005821,0.0591781000111951
"BSK",13.2329732020263,52.5596088679718,0.69445270000142,0.0944526999955997
"BSK",13.2330354834517,52.5595766006591,0.69999999999709,0.00554729999566916
"BSK",13.2332877458171,52.5594477401297,0.722336699996958,0.0223366999998689
"BSK",13.2335423507388,52.5593206029509,0.744673399996827,0.0223366999998689
"BSK",13.2341758599928,52.5590078376069,0.80000000000291,0.055326600006083
"BSK",13.2353208771084,52.5584425205653,0.899999999994179,0.0999999999912689
"BSK",13.2364658658985,52.5578771920576,1,0.100000000005821
"BSK",13.2376108178837,52.5573118559873,1.10000000000582,0.100000000005821
"BSK",13.2387557373917,52.5567465113003,1.19999999999709,0.0999999999912689
"BSK",13.2399006369695,52.5561811503502,1.30000000000291,0.100000000005821
"BSK",13.2410455013027,52.5556157826834,1.39999999999418,0.0999999999912689
"BSK",13.242190342938,52.5550504006532,1.5,0.100000000005821
"BSK",13.2433351548675,52.5544850081104,1.60000000000582,0.100000000005821
"BSK",13.2444799300843,52.5539196089059,1.69999999999709,0.0999999999912689
"BSK",13.2456246769815,52.5533541982409,1.80000000000291,0.100000000005821
"BSK",13.2467694011828,52.552788773215,1.89999999999418,0.0999999999912689
"BSK",13.2479140971522,52.5522233376263,2,0.100000000005821
"BSK",13.2490587464641,52.5516578993352,2.10000000000582,0.100000000005821
"BSK",13.2499981876281,52.5511938122131,2.18207310000435,0.0820730999985244
"BSK",13.2502048615825,52.551093568105,2.19999999999709,0.0179268999927444
