"","m","b","A"
"SOW__S105.SOW__22.05",-1.83864721531133e-05,0.012676668141415,689.456250000001
"SOW__S105.SOW__21.8",-6.99706513830845e-20,0.00714285714285715,102083616511592816
"SOW__S105.SOW__21.6",-9.32942018441126e-20,0.00500000000000001,53593898668586264
"SOW__S105.SOW__21.2",0,0,0
"SOW__S106.SOW__21.2",0,0,0
"SOW__S106.SOW__20.7",0,0.0162965048465591,NA
"SOW__S106.SOW__20.41",0,0.0187919944151091,NA
"SOW__S106.SOW__20.2",0,0.0221693307898713,NA
"SOW__S106.SOW__19.65",0,0.035776555524273,NA
"SOW__S106.SOW__19.3",0,0.0422936262145127,NA
"SOW__S106.SOW__19.11",0,0.0442020558374176,NA
"SOW__S106.SOW__18.7",0,0.0510606121546073,NA
"SOW__S106.SOW__18.45",0,0.0565034532093013,NA
"SOW__S106.SOW__18.2",0,0.0622489959262473,NA
"SOW__S106.SOW__18.1",0,0.0638570365603507,NA
"SOW__S106.SOW__18",0,0.0642005619365552,NA
"SOW__S107.SOW__17.8",0,0.0642005619365552,NA
"SOW__S107.SOW__17.65",0,0.0692781873236766,NA
"SOW__S107.SOW__17.56",0,0.0710898868657386,NA
"SOW__S301.SOW__17.54",0,0.0714611355944864,NA
"SOW__S107.SOW__17.52",0,0.0714611355944864,NA
"SOW__S107.SOW__17.5",0,0.0714611355944864,NA
"SOW__S301.SOW__17.26",0,0.0808867163484467,NA
"SOW__S301.SOW__17",0,0.0874032411902943,NA
"SOW__S301.SOW__16.8",0,0.0930066047655437,NA
"SOW__S301.SOW__16.65",-5.03042386564092e-05,0.100035250314581,1988.60479725869
"SOW__S301.SOW__16.55",-2.23223263483898e-05,0.101966160272579,4567.90025740014
"SOW__S301.SOW__16.3",-5.91239995173561e-05,0.107736625277952,1822.21477162291
"SOW__S303.SOW__16.3",-3.14868335622069e-05,0.10360165133503,3290.31660583939
"SOW__S303.SOW__16.15",-2.89874225038934e-05,0.106597166759557,3677.35926660052
"SOW__S303.SOW__16.13",-7.08741043777047e-05,0.108699415654932,1533.69720308065
"SOW__S303.SOW__16.1",-7.23967341028939e-06,0.109045009509254,15062.1448412677
"SOW__S303.SOW__15.8",-6.96100344171781e-05,0.114988609005924,1651.89702847708
"SOW__S303.SOW__15.56",-7.78264891606008e-05,0.119287423653047,1532.73551125875
"SOW__S303.SOW__15.4",-6.93514746525253e-05,0.1208773076459,1742.9666528583
"SOW__S303.SOW__15.3",-9.88560166857248e-05,0.122482791411219,1239.00188898574
"SOW__S303.SOW__15.1",-0.00010204492044978,0.124855508184853,1223.53476914413
"SOW__S303.SOW__14.75",-0.000103739923351396,0.128394674243425,1237.65923566877
"SOW__S303.SOW__14.6",-0.000141978039657324,0.130021575375917,915.786523674617
"SOW__S303.SOW__14.5",-0.000154475094948893,0.130401141110428,844.156406918349
"SOW__S304.SOW__14.5",-0.000159416459340042,0.13107585281629,822.222832942867
"SOW__S304.SOW__13.4",-0.000483707861940579,0.182124872874782,376.51832274158
"SOW__S304.SOW__12.79",-0.000573284455961527,0.200232229761953,349.272037083437
"SOW__S304.SOW__12.5",-0.0006128728288162,0.205035609425365,334.548375755871
"BSSK__S307.BSSK__12.2",-0.000154388908360674,0.130221183514229,843.462039449197
"SOW__S304.SOW__12.2",-0.000666279784648445,0.210477904631667,315.90018109693
"SOW__S304.SOW__12.1",-0.000680184554214239,0.212368206342184,312.221447879709
"SOW__S304.SOW__12",-0.000679839807861367,0.213791233100247,314.472954699121
