"","m","b","A"
"SOW__S105.SOW__22.05",0,154.5,NA
"SOW__S105.SOW__21.8",-0.0019406346780361,150.052045207738,77321.1191709659
"SOW__S105.SOW__21.6",0,149.502664602019,NA
"SOW__S105.SOW__21.2",0,142.89188754374,NA
"SOW__S106.SOW__21.2",0,142.89188754374,NA
"SOW__S106.SOW__20.7",0,136.210845432973,NA
"SOW__S106.SOW__20.41",0,135.128101998954,NA
"SOW__S106.SOW__20.2",0,134.504434299964,NA
"SOW__S106.SOW__19.65",0,133.672475163898,NA
"SOW__S106.SOW__19.3",0,144.272206692676,NA
"SOW__S106.SOW__19.11",0,145.835372843181,NA
"SOW__S106.SOW__18.7",0,149.65990628645,NA
"SOW__S106.SOW__18.45",0,159.306338736275,NA
"SOW__S106.SOW__18.2",0,165.567706029039,NA
"SOW__S106.SOW__18.1",0,167.422243896553,NA
"SOW__S106.SOW__18",0,167.471378152274,NA
"SOW__S107.SOW__17.8",0,167.471378152274,NA
"SOW__S107.SOW__17.65",0,171.655301049753,NA
"SOW__S107.SOW__17.56",0,172.18485802196,NA
"SOW__S301.SOW__17.54",0,172.110324578691,NA
"SOW__S107.SOW__17.52",0,172.18485802196,NA
"SOW__S107.SOW__17.5",0,172.110324578691,NA
"SOW__S301.SOW__17.26",0,175.70107690142,NA
"SOW__S301.SOW__17",0,182.370862325544,NA
"SOW__S301.SOW__16.8",-0.412007802759122,196.897292161043,477.896998169614
"SOW__S301.SOW__16.65",-0.771497807987774,214.01242307847,277.398614568535
"SOW__S301.SOW__16.55",-0.892782447814022,220.129751035676,246.565948484609
"SOW__S301.SOW__16.3",-0.74112134497044,226.086368298275,305.059852657856
"SOW__S303.SOW__16.3",-0.0421409323090543,182.365266661304,4327.50906704837
"SOW__S303.SOW__16.15",0,191.12289345614,NA
"SOW__S303.SOW__16.13",0,197.248250412259,NA
"SOW__S303.SOW__16.1",0,204.768848288622,NA
"SOW__S303.SOW__15.8",-0.0257108957084835,214.059350239311,8325.62788423901
"SOW__S303.SOW__15.56",-0.0528697260990243,220.391988094759,4168.58577405845
"SOW__S303.SOW__15.4",-0.0390841813135995,226.607770582794,5797.94082840222
"SOW__S303.SOW__15.3",0,229.762880585609,NA
"SOW__S303.SOW__15.1",0,234.399800908981,NA
"SOW__S303.SOW__14.75",0,244.673721996541,NA
"SOW__S303.SOW__14.6",0,248.885261231549,NA
"SOW__S303.SOW__14.5",0,250.042186180268,NA
"SOW__S304.SOW__14.5",0,255.495716526566,NA
"SOW__S304.SOW__13.4",-3.948588263685,597.152294574267,151.231846598505
"SOW__S304.SOW__12.79",-4.40187225998472,726.484278848088,165.03983667409
"SOW__S304.SOW__12.5",-4.78854120580784,764.849037726743,159.724852487243
"BSSK__S307.BSSK__12.2",0,250.042186180268,NA
"SOW__S304.SOW__12.2",-4.53628886296908,790.39614587942,174.238495332965
"SOW__S304.SOW__12.1",-4.63196315810643,803.914074126212,173.557959484042
"SOW__S304.SOW__12",-4.67990588424567,814.893486304951,174.126041518952
"SOW__S304.SOW__11.8",-4.48191087157624,854.854899851185,190.734471154385
"BSSK__S307.BSSK__11.75",-1.50193057957608,444.031050154849,295.640195487715
"BSSK__S307.BSSK__11.59",-1.68883481478503,457.162093271126,270.696748591909
"BSSK__S307.BSSK__11.5",-1.74105095925673,466.564402928046,267.978602491467
"SOW__S304.SOW__11.48",-5.09210473394201,919.939684470901,180.660008490976
"SOW__S304.SOW__11.2",-5.56093391786993,955.730020512408,171.865020269562
"BSSK__S307.BSSK__10.9",-2.82168282186382,652.798732051643,231.350854530293
"SOW__S304.SOW__10.9",-6.17312874552549,1000.2428206572,162.031744661443
"BSSK__S307.BSSK__10.8",-3.07252745042835,678.18731649439,220.72620259254
"LwKo__S107.LwK__10.74",0,142.89188754374,NA
"BSSK__S307.BSSK__10.7",-3.25526887342638,698.626407714274,214.614041075791
"LwKo__S107.LwK__10.698",0,138.268219844749,NA
"LwKo__S107.LwK__10.655",0,136.914129429272,NA
"BSSK__S307.BSSK__10.6",-3.35893697462093,716.460403008487,213.299745848712
"LwKo__S107.LwK__10.57",0,135.795806016973,NA
"BSSK__S307.BSSK__10.54",-3.34807746450549,716.785745887463,214.088757947341
"BSSK__S309.BSSK__10.54",-0.638307927442384,47.0369524996984,73.6900647437816
"Lwk__S202.Lwk__10.5",0,135.795806016973,NA
"SOW__S304.SOW__10.28",-6.52615332019467,1065.35813256646,163.244422908331
"Lwk__S202.Lwk__10.27",0,128.93059465873,NA
"Lwk__S202.Lwk__10.1",0,126.296700921047,NA
"Lwk__S202.Lwk__10.05",0,125.06894280658,NA
"SOW__S304.SOW__10.05",-6.6447633028999,1081.89077645497,162.818557582452
