"","m","b","A"
"SOW__S105.SOW__22.05",0,0,0
"SOW__S105.SOW__21.8",0,0,0
"SOW__S105.SOW__21.6",0,0,0
"SOW__S105.SOW__21.2",0,0,0
"SOW__S106.SOW__21.2",0,0,0
"SOW__S106.SOW__20.7",0,0,0
"SOW__S106.SOW__20.41",0,0,0
"SOW__S106.SOW__20.2",0,0,0
"SOW__S106.SOW__19.65",0,0,0
"SOW__S106.SOW__19.3",0,0,0
"SOW__S106.SOW__19.11",0,0,0
"SOW__S106.SOW__18.7",0,0,0
"SOW__S106.SOW__18.45",0,0,0
"SOW__S106.SOW__18.2",0,0,0
"SOW__S106.SOW__18.1",0,0,0
"SOW__S106.SOW__18",0,0,0
"SOW__S107.SOW__17.8",0,0,0
"SOW__S107.SOW__17.65",0,0,0
"SOW__S107.SOW__17.56",0,0,0
"SOW__S301.SOW__17.54",0,0,0
"SOW__S107.SOW__17.52",0,0,0
"SOW__S107.SOW__17.5",0,0,0
"SOW__S301.SOW__17.26",0,0,0
"SOW__S301.SOW__17",0,0,0
"SOW__S301.SOW__16.8",0,0,0
"SOW__S301.SOW__16.65",0,0,0
"SOW__S301.SOW__16.55",-0.666666666666667,3.5,1.5
"SOW__S301.SOW__16.3",-0.461864406779661,13.0665254237288,10.5
"SOW__S303.SOW__16.3",0,0,0
"SOW__S303.SOW__16.15",0,0,0
"SOW__S303.SOW__16.13",0,0,0
"SOW__S303.SOW__16.1",0,0,0
"SOW__S303.SOW__15.8",0,0,0
"SOW__S303.SOW__15.56",0,0,0
"SOW__S303.SOW__15.4",0,0,0
"SOW__S303.SOW__15.3",0,0,0
"SOW__S303.SOW__15.1",0,0,0
"SOW__S303.SOW__14.75",0,0,0
"SOW__S303.SOW__14.6",0,0,0
"SOW__S303.SOW__14.5",0,0,0
"SOW__S304.SOW__14.5",0,0,0
"SOW__S304.SOW__13.4",-1.02460282436011,20.7582744924978,20.2598255626144
"SOW__S304.SOW__12.79",-2.00445244410762,45.6913129973475,22.7949099673898
"SOW__S304.SOW__12.5",-2.33080712391057,54.1051061007957,23.2130344659405
"BSSK__S307.BSSK__12.2",0,0,0
"SOW__S304.SOW__12.2",-2.8688897309587,64.2175066312997,22.3840972130498
"SOW__S304.SOW__12.1",-3.14427813565745,69.4174403183024,22.0773854358109
"SOW__S304.SOW__12",-3.30210306934445,72.5978116710875,21.9853257595318
"SOW__S304.SOW__11.8",-3.84795377036756,81.8338859416446,21.2668578743938
"BSSK__S307.BSSK__11.75",-0.676522506619594,18.4057811120918,27.206457925636
"BSSK__S307.BSSK__11.59",-0.836491095111785,23.1498673740053,27.6749716874292
"BSSK__S307.BSSK__11.5",-0.982284956422887,26.2042440318302,26.6768251518951
"SOW__S304.SOW__11.48",-3.93915804327375,92.1828786453433,23.4016705175739
"SOW__S304.SOW__11.2",-4.13889934148636,98.2192380056444,23.7307626743036
"BSSK__S307.BSSK__10.9",-1.53181723346547,47.7504433548926,31.1724155543449
"SOW__S304.SOW__10.9",-4.41140639698965,102.355973659454,23.202571798713
"BSSK__S307.BSSK__10.8",-1.70949822658043,52.8720790736491,30.9284199606401
"LwKo__S107.LwK__10.74",0,0,0
"BSSK__S307.BSSK__10.7",-1.81407782182349,56.3561182975172,31.0659871476013
"LwKo__S107.LwK__10.698",0,0,0
"LwKo__S107.LwK__10.655",0,0,0
"BSSK__S307.BSSK__10.6",-1.90027122887544,59.3732005007302,31.2445926657883
"LwKo__S107.LwK__10.57",0,0,0
"BSSK__S307.BSSK__10.54",-1.90321823492593,59.432975172126,31.2276196609891
"BSSK__S309.BSSK__10.54",-0.0651658767772512,4.13744075829384,15
"Lwk__S202.Lwk__10.5",0,0,0
"SOW__S304.SOW__10.28",-5.88116180620884,137.365804327375,23.3569163464192
"Lwk__S202.Lwk__10.27",0,0,0
"Lwk__S202.Lwk__10.1",0,0,0
"Lwk__S202.Lwk__10.05",0,0,0
"SOW__S304.SOW__10.05",-6.05404515522107,142.945108184384,23.6115034690659
"BSSK__S309.BSSK__10",-0.306818181818182,6.92045454545454,22.5555555555556
"Lwk__S202.Lwk__9.9",0,0,0
"BSSK__S309.BSSK__9.85",-0.436120917917034,8.64331421006178,19.818618770554
"SOW__S304.SOW__9.85",-6.17850423330197,147.412041392286,23.8588557725248
"BSSK__S309.BSSK__9.75",-0.544902912621359,9.91868932038835,18.2026726057906
"BSSK__S309.BSSK__9.5",-1.1418799646955,17.8358340688438,15.6197101449275
"Lwk__S202.Lwk__9.5",0,0,0
"Lwk__S203.Lwk__9.5",0,0,0
"Lwk__S203.Lwk__9.37",0,0,0
"BSSK__S309.BSSK__9.2",-2.35183142100618,42.2326787290379,17.9573579772013
"Lwk__S203.Lwk__9.2",0,0,0
"SOW__S304.SOW__9.1",-7.13007996237065,170.79967074318,23.9548043843244
"SOW__S305.SOW__8.95",-2.81523988711195,68.749012229539,24.4203034150906
"BSSK__S309.BSSK__8.8",-2.69884425918909,58.4721485411141,21.6656253290744
"SOW__S305.SOW__8.75",-3.15580903104421,78.3290216368768,24.8205835227484
"BSSK__S309.BSSK__8.7",-2.71324365289883,60.7105437665782,22.3756328340491
"Lwk__S203.Lwk__8.7",-0.375331564986737,11.7682360742706,31.3542402826855
"BSSK__S309.BSSK__8.6",-2.73067449791588,60.9728116710875,22.3288464874241
"BSSK__S310.BSSK__8.6",-10.3040260628243,395.30641917709,38.3642681770099
"SOW__S305.SOW__8.29",-4.03080012518256,110.788441477154,27.4854713794911
"Lwk__S203.Lwk__8.1",-0.72071249739203,25.129407469226,34.8674506965804
"SOW__S305.SOW__8.1",-4.39051742123931,124.058105570624,28.2559192159192
"BSSK__S310.BSSK__8.025",0,0,0
"SOW__S305.SOW__7.9",-4.71025453786773,136.081003546839,28.890371518742
"Lwk__S203.Lwk__7.7",-1.22329438764865,40.2348737742541,32.8905896900183
"BSSK__S310.BSSK__7.45",0,0,0
"SOW__S305.SOW__7.3",-5.95031817233465,177.788754433549,29.8788651773544
