"","m","b","A"
"Lwk__S203.Lwk__7",-0.152305445441268,5.79720425620697,38.0630136986301
"Lwk__S203.Lwk__6.6",-0.15021906947632,6.27258501982057,41.75625
"SOW__S305.SOW__6.6",-0.344147715418318,13.8609430419362,40.2761442861473
"SOW__S306.SOW__6.6",-0.301585645733361,8.75871061965366,29.0421999308198
"SOW__S306.SOW__6.48",-0.306488629250991,9.21656582516169,30.071477195371
"SOW__S306.SOW__6.4",-0.306488629250991,9.21656582516169,30.071477195371
"SOW__S501.SOW__6.4",-0.303463384101815,9.38086793240142,30.9126847713991
"Lwk__S203.Lwk__6.37",-0.142290840809514,5.97903192155226,42.0197947214076
"SOW__S306.SOW__6.36",-0.303463384101815,9.38086793240142,30.9126847713991
"SOW__S306.SOW__6.34",-0.303463384101815,9.38086793240142,30.9126847713991
"SOW__S501.SOW__6.2",-0.279887335697893,8.90267056123514,31.8080506895267
"Lwk__S203.Lwk__6.1",-0.237012309618193,8.19674525349468,34.5836267605634
"SOW__S501.SOW__6.1",-0.279887335697893,8.90267056123514,31.8080506895267
"SOW__S501.SOW__6",-0.271333194241602,8.90173169205091,32.8073817762399
"SOW__S501.SOW__5.9",-0.271333194241602,8.90173169205091,32.8073817762399
"Lwk__S203.Lwk__5.87",-0.235030252451492,8.3733569789276,35.6267199289836
"SOW__S501.SOW__5.8",-0.271333194241602,8.90173169205091,32.8073817762399
"SOW__S501.SOW__5.7",-0.283642812434801,9.14698518673065,32.2482530342037
"Lwk__S203.Lwk__5.6",-0.249739203004381,8.7469225954517,35.0242272347536
"SOW__S501.SOW__5.6",-0.289171708741915,9.3122261631546,32.2031024531024
"SOW__S501.SOW__5.5",-0.289171708741915,9.3122261631546,32.2031024531024
"Lwk__S203.Lwk__5.46",-0.246713957855205,8.91122470269142,36.1196617336152
"SOW__S501.SOW__5.4",-0.289171708741915,9.3122261631546,32.2031024531024
"Lwk__S203.Lwk__5.3",-0.264030878364281,9.31556436469852,35.2821019359937
"SOW__S501.SOW__5.3",-0.289171708741915,9.3122261631546,32.2031024531024
"SOW__S501.SOW__5.2",-0.299916544961402,9.53901523054454,31.8055652173913
"Lwk__S203.Lwk__5.15",-0.295013561443772,10.0811600250365,34.1718528995757
"SOW__S501.SOW__5.1",-0.299916544961402,9.53901523054454,31.8055652173913
"Lwk__S203.Lwk__4.85",-0.286876695180471,10.3851450031296,36.2007272727273
"Lwk__S203.Lwk__4.7",-0.286876695180471,10.3851450031296,36.2007272727273
"SOW__S501.SOW__4.6",-0.281243480075109,9.01867306488629,32.0671364985163
"SOW__S501.SOW__4.5",-0.275714583767995,8.85343208846234,32.1108588724934
"SOW__S501.SOW__4.4",-0.260692676820363,8.37617358648028,32.1304521808724
"SOW__S501.SOW__4.3",-0.260692676820363,8.37617358648028,32.1304521808724
"SOW__S501.SOW__4.2",-0.252555810557062,8.18015856457333,32.3895084675754
"Lwk__S203.Lwk__4.15",-0.270915919048612,10.5968078447736,39.1147477859068
"SOW__S501.SOW__4.1",-0.240246192363864,7.93490506989359,33.0282240555797
"Pa2__Panke.2__4.086",0,0,0
"Pa2__Panke.2__4.0527",0,0,0
"SOW__S501.SOW__4",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__4",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.995",0,0,0
"Pa2__Panke.2__3.95",0,0,0
"Pa2__Panke.2__3.919",0,0,0
"SOW__S501.SOW__3.9",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__3.9",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.891",0,0,0
"Pa2__Panke.2__3.861",0,0,0
"Pa2__Panke.2__3.823",0,0,0
"SOW__S501.SOW__3.8",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__3.8",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.783",0,0,0
"Pa2__Panke.2__3.712",0,0,0
"Lwk__S203.Lwk__3.7",-0.268412267890674,10.76726476111,40.1146521570152
"SOW__S501.SOW__3.7",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__3.7",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.677",0,0,0
"SOW__S501.SOW__3.6",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__3.6",-0.0666372462488967,1.69505736981465,25.4370860927152
"SOW__S501.SOW__3.5",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__3.5",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.484",0,0,0
"Pa2__Panke.2__3.442",0,0,0
"Pa2__Panke.2__3.413",0,0,0
"SOW__S501.SOW__3.4",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__3.4",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.383",0,0,0
"Pa2__Panke.2__3.342",0,0,0
"Lwk__S203.Lwk__3.34",-0.297830168996453,12.0143959941581,40.3397548161121
"Pa2__Panke.2__3.311",0,0,0
"SOW__S501.SOW__3.3",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__3.3",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.267",0,0,0
"NSK__S201.Nsk__3.25",0,0,0
"Pa2__Panke.2__3.228",0,0,0
"SOW__S501.SOW__3.2",-0.238055497600668,7.70905487168788,32.3834355828221
"UHW__S504.UHW__3.2",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.17",0,0,0
"Pa2__Panke.2__3.1294",0,0,0
"SOW__S501.SOW__3.1",-0.23388274567077,7.65981639891508,32.7506690454951
"UHW__S504.UHW__3.1",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__3.092",0,0,0
"Pa2__Panke.2__3.056",0,0,0
"WHK__S311.WHK__3.05",-0.230011367942402,5.93633952254642,25.8088962108731
"Pa2__Panke.2__3.01",0,0,0
"Lwk__S203.Lwk__3",-0.312048722295473,12.5221322282916,40.1287726358149
"SOW__S501.SOW__3",-0.223137909451283,7.43302733152514,33.3113604488079
"UHW__S504.UHW__3",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__2.9519",0,0,0
"UHW__S504.UHW__2.95",-0.0666372462488967,1.69505736981465,25.4370860927152
"NSK__S201.Nsk__2.9",-0.274533810510454,10.818515728009,39.4068610634648
"SOW__S501.SOW__2.9",-0.223137909451283,7.43302733152514,33.3113604488079
"UHW__S504.UHW__2.9",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__2.867",0,0,0
"Pa2__Panke.2__2.832",0,0,0
"SOW__S501.SOW__2.8",-0.235447527644481,7.67828082620488,32.6114311032344
"UHW__S504.UHW__2.8",-0.0666372462488967,1.69505736981465,25.4370860927152
"WHK__S311.WHK__2.8",-0.171966133584196,5.90366886171213,34.3304157549234
"Pa2__Panke.2__2.795",0,0,0
"Pa2__Panke.2__2.7425",0,0,0
"SOW__S501.SOW__2.7",-0.235447527644481,7.67828082620488,32.6114311032344
"UHW__S504.UHW__2.7",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__2.695",0,0,0
"Lwk__S203.Lwk__2.65",-0.306931625541533,12.3600489734413,40.2697146363915
